time,intraday price,day-ahead price
2015-01-01 00:00:00,65.41,50.1
2015-01-01 01:00:00,64.92,48.1
2015-01-01 02:00:00,64.48,47.33
2015-01-01 03:00:00,59.32,42.27
2015-01-01 04:00:00,56.04,38.41
2015-01-01 05:00:00,53.63,35.72
2015-01-01 06:00:00,51.73,35.13
2015-01-01 07:00:00,51.43,36.22
2015-01-01 08:00:00,48.98,32.4
2015-01-01 09:00:00,54.2,36.6
2015-01-01 10:00:00,58.94,43.1
2015-01-01 11:00:00,59.86,45.14
2015-01-01 12:00:00,60.12,
2015-01-01 13:00:00,62.05,47.35
2015-01-01 14:00:00,62.06,
2015-01-01 15:00:00,59.76,43.61
2015-01-01 16:00:00,61.18,44.91
2015-01-01 17:00:00,64.74,
2015-01-01 18:00:00,74.26,58.02
2015-01-01 19:00:00,74.24,61.01
2015-01-01 20:00:00,75.64,62.69
2015-01-01 21:00:00,73.92,60.41
2015-01-01 22:00:00,70.53,58.15
2015-01-01 23:00:00,64.13,53.6
2015-01-02 00:00:00,64.02,10.0
2015-01-02 01:00:00,58.46,7.0
2015-01-02 02:00:00,54.7,
2015-01-02 03:00:00,54.91,
2015-01-02 04:00:00,53.07,
2015-01-02 05:00:00,54.23,4.8
2015-01-02 06:00:00,58.22,
2015-01-02 07:00:00,67.55,
2015-01-02 08:00:00,70.33,
2015-01-02 09:00:00,71.26,
2015-01-02 10:00:00,75.86,10.71
2015-01-02 11:00:00,73.65,
2015-01-02 12:00:00,74.19,
2015-01-02 13:00:00,71.51,
2015-01-02 14:00:00,71.04,6.33
2015-01-02 15:00:00,71.24,
2015-01-02 16:00:00,70.64,6.21
2015-01-02 17:00:00,72.85,9.98
2015-01-02 18:00:00,82.55,33.15
2015-01-02 19:00:00,83.33,
2015-01-02 20:00:00,83.23,
2015-01-02 21:00:00,79.06,
2015-01-02 22:00:00,76.2,45.8
2015-01-02 23:00:00,71.75,41.74
2015-01-03 00:00:00,66.82,
2015-01-03 01:00:00,63.35,27.1
2015-01-03 02:00:00,58.79,
2015-01-03 03:00:00,57.44,
2015-01-03 04:00:00,55.29,17.1
2015-01-03 05:00:00,56.22,17.22
2015-01-03 06:00:00,58.13,20.14
2015-01-03 07:00:00,62.06,19.87
2015-01-03 08:00:00,67.36,20.22
2015-01-03 09:00:00,69.21,25.22
2015-01-03 10:00:00,70.35,25.13
2015-01-03 11:00:00,68.77,
2015-01-03 12:00:00,68.82,
2015-01-03 13:00:00,68.23,
2015-01-03 14:00:00,67.97,23.68
2015-01-03 15:00:00,62.76,14.87
2015-01-03 16:00:00,62.03,
2015-01-03 17:00:00,66.69,19.52
2015-01-03 18:00:00,71.5,
2015-01-03 19:00:00,72.14,39.71
2015-01-03 20:00:00,72.45,
2015-01-03 21:00:00,72.86,41.21
2015-01-03 22:00:00,70.1,35.69
2015-01-03 23:00:00,67.62,30.23
2015-01-04 00:00:00,55.22,24.65
2015-01-04 01:00:00,50.54,20.2
2015-01-04 02:00:00,48.68,19.16
2015-01-04 03:00:00,48.02,21.9
2015-01-04 04:00:00,47.06,14.9
2015-01-04 05:00:00,46.79,
2015-01-04 06:00:00,47.63,
2015-01-04 07:00:00,47.44,27.51
2015-01-04 08:00:00,50.84,33.96
2015-01-04 09:00:00,54.84,
2015-01-04 10:00:00,59.95,37.17
2015-01-04 11:00:00,59.35,
2015-01-04 12:00:00,57.03,
2015-01-04 13:00:00,59.22,38.12
2015-01-04 14:00:00,58.56,30.4
2015-01-04 15:00:00,52.07,27.58
2015-01-04 16:00:00,52.15,
2015-01-04 17:00:00,61.12,
2015-01-04 18:00:00,71.98,26.53
2015-01-04 19:00:00,74.64,
2015-01-04 20:00:00,75.38,39.7
2015-01-04 21:00:00,76.49,40.48
2015-01-04 22:00:00,73.83,37.97
