time,solar day ahead,wind offshore eday ahead,wind onshore day ahead
2015-01-01 00:00:00,17.0,n/e,6436.0
2015-01-01 01:00:00,16.0,n/e,5856.0
2015-01-01 02:00:00,8.0,n/e,5454.0
2015-01-01 03:00:00,2.0,n/e,5151.0
2015-01-01 04:00:00,9.0,n/e,4861.0
2015-01-01 05:00:00,4.0,n/e,4617.0
2015-01-01 06:00:00,3.0,n/e,4276.0
2015-01-01 07:00:00,12.0,n/e,3994.0
2015-01-01 08:00:00,39.0,n/e,3602.0
2015-01-01 09:00:00,784.0,n/e,3212.0
2015-01-01 10:00:00,1996.0,n/e,2617.0
2015-01-01 11:00:00,2990.0,n/e,2450.0
2015-01-01 12:00:00,3842.0,n/e,2819.0
2015-01-01 13:00:00,3812.0,n/e,2830.0
2015-01-01 14:00:00,3699.0,n/e,2851.0
2015-01-01 15:00:00,3369.0,n/e,2822.0
2015-01-01 16:00:00,2615.0,n/e,2562.0
2015-01-01 17:00:00,1387.0,n/e,2578.0
2015-01-01 18:00:00,399.0,n/e,2824.0
2015-01-01 19:00:00,100.0,n/e,2801.0
2015-01-01 20:00:00,44.0,n/e,2999.0
2015-01-01 21:00:00,26.0,n/e,3185.0
2015-01-01 22:00:00,13.0,n/e,3446.0
2015-01-01 23:00:00,14.0,n/e,3482.0
2015-02-01 00:00:00,13.0,n/e,3494.0
2015-02-01 01:00:00,10.0,n/e,3189.0
2015-02-01 02:00:00,9.0,n/e,2892.0
2015-02-01 03:00:00,11.0,n/e,2902.0
2015-02-01 04:00:00,8.0,n/e,2749.0
2015-02-01 05:00:00,8.0,n/e,3068.0
2015-02-01 06:00:00,10.0,n/e,3166.0
2015-02-01 07:00:00,18.0,n/e,3141.0
2015-02-01 08:00:00,63.0,n/e,3165.0
2015-02-01 09:00:00,691.0,n/e,2907.0
2015-02-01 10:00:00,1797.0,n/e,2510.0
2015-02-01 11:00:00,3078.0,n/e,1945.0
2015-02-01 12:00:00,3568.0,n/e,1486.0
2015-02-01 13:00:00,3572.0,n/e,1267.0
2015-02-01 14:00:00,3474.0,n/e,1363.0
2015-02-01 15:00:00,2935.0,n/e,1426.0
2015-02-01 16:00:00,2383.0,n/e,1678.0
2015-02-01 17:00:00,1211.0,n/e,1807.0
2015-02-01 18:00:00,392.0,n/e,2050.0
2015-02-01 19:00:00,98.0,n/e,1933.0
2015-02-01 20:00:00,52.0,n/e,1872.0
2015-02-01 21:00:00,30.0,n/e,1755.0
2015-02-01 22:00:00,19.0,n/e,1938.0
2015-02-01 23:00:00,16.0,n/e,2014.0
2015-03-01 00:00:00,16.0,n/e,1965.0
2015-03-01 01:00:00,16.0,n/e,1891.0
2015-03-01 02:00:00,8.0,n/e,2097.0
2015-03-01 03:00:00,2.0,n/e,2336.0
2015-03-01 04:00:00,0.0,n/e,2475.0
2015-03-01 05:00:00,0.0,n/e,2729.0
2015-03-01 06:00:00,2.0,n/e,2903.0
2015-03-01 07:00:00,22.0,n/e,3203.0
