"MTU (CET)","Generation - Solar  [MW] Day Ahead/ BZN|ES","Generation - Solar  [MW] Intraday / BZN|ES","Generation - Solar  [MW] Current / BZN|ES","Generation - Wind Offshore  [MW] Day Ahead/ BZN|ES","Generation - Wind Offshore  [MW] Intraday / BZN|ES","Generation - Wind Offshore  [MW] Current / BZN|ES","Generation - Wind Onshore  [MW] Day Ahead/ BZN|ES","Generation - Wind Onshore  [MW] Intraday / BZN|ES","Generation - Wind Onshore  [MW] Current / BZN|ES"
"01.01.2017 00:00 - 01.01.2017 01:00","5","n/e","n/e","n/e","n/e","n/e","1732","n/e","n/e"
"01.01.2017 01:00 - 01.01.2017 02:00","1","n/e","n/e","n/e","n/e","n/e","1826","n/e","n/e"
"01.01.2017 02:00 - 01.01.2017 03:00","5","n/e","n/e","n/e","n/e","n/e","1823","n/e","n/e"
"01.01.2017 03:00 - 01.01.2017 04:00","10","n/e","n/e","n/e","n/e","n/e","1777","n/e","n/e"
"01.01.2017 04:00 - 01.01.2017 05:00","24","n/e","n/e","n/e","n/e","n/e","1746","n/e","n/e"
"01.01.2017 05:00 - 01.01.2017 06:00","30","n/e","n/e","n/e","n/e","n/e","1662","n/e","n/e"
"01.01.2017 06:00 - 01.01.2017 07:00","40","n/e","n/e","n/e","n/e","n/e","1684","n/e","n/e"
"01.01.2017 07:00 - 01.01.2017 08:00","46","n/e","n/e","n/e","n/e","n/e","1780","n/e","n/e"
"01.01.2017 08:00 - 01.01.2017 09:00","100","n/e","n/e","n/e","n/e","n/e","1803","n/e","n/e"
"01.01.2017 09:00 - 01.01.2017 10:00","563","n/e","n/e","n/e","n/e","n/e","1737","n/e","n/e"
"01.01.2017 10:00 - 01.01.2017 11:00","1377","n/e","n/e","n/e","n/e","n/e","1562","n/e","n/e"
"01.01.2017 11:00 - 01.01.2017 12:00","2056","n/e","n/e","n/e","n/e","n/e","1433","n/e","n/e"
"01.01.2017 12:00 - 01.01.2017 13:00","2385","n/e","n/e","n/e","n/e","n/e","1506","n/e","n/e"
"01.01.2017 13:00 - 01.01.2017 14:00","2716","n/e","n/e","n/e","n/e","n/e","1541","n/e","n/e"
"01.01.2017 14:00 - 01.01.2017 15:00","2763","n/e","n/e","n/e","n/e","n/e","1565","n/e","n/e"
"01.01.2017 15:00 - 01.01.2017 16:00","2495","n/e","n/e","n/e","n/e","n/e","1475","n/e","n/e"
"01.01.2017 16:00 - 01.01.2017 17:00","2051","n/e","n/e","n/e","n/e","n/e","1441","n/e","n/e"
"01.01.2017 17:00 - 01.01.2017 18:00","993","n/e","n/e","n/e","n/e","n/e","1506","n/e","n/e"
"01.01.2017 18:00 - 01.01.2017 19:00","339","n/e","n/e","n/e","n/e","n/e","2015","n/e","n/e"
"01.01.2017 19:00 - 01.01.2017 20:00","80","n/e","n/e","n/e","n/e","n/e","2460","n/e","n/e"
"01.01.2017 20:00 - 01.01.2017 21:00","22","n/e","n/e","n/e","n/e","n/e","2840","n/e","n/e"
"01.01.2017 21:00 - 01.01.2017 22:00","29","n/e","n/e","n/e","n/e","n/e","3395","n/e","n/e"
"01.01.2017 22:00 - 01.01.2017 23:00","3","n/e","n/e","n/e","n/e","n/e","3907","n/e","n/e"
"01.01.2017 23:00 - 02.01.2017 00:00","13","n/e","n/e","n/e","n/e","n/e","4296","n/e","n/e"
"02.01.2017 00:00 - 02.01.2017 01:00","13","n/e","n/e","n/e","n/e","n/e","4714","n/e","n/e"
"02.01.2017 01:00 - 02.01.2017 02:00","1","n/e","n/e","n/e","n/e","n/e","4799","n/e","n/e"
"02.01.2017 02:00 - 02.01.2017 03:00","0","n/e","n/e","n/e","n/e","n/e","4619","n/e","n/e"
"02.01.2017 03:00 - 02.01.2017 04:00","1","n/e","n/e","n/e","n/e","n/e","4406","n/e","n/e"
"02.01.2017 04:00 - 02.01.2017 05:00","1","n/e","n/e","n/e","n/e","n/e","4150","n/e","n/e"
"02.01.2017 05:00 - 02.01.2017 06:00","2","n/e","n/e","n/e","n/e","n/e","4052","n/e","n/e"
"02.01.2017 06:00 - 02.01.2017 07:00","3","n/e","n/e","n/e","n/e","n/e","4136","n/e","n/e"
"02.01.2017 07:00 - 02.01.2017 08:00","7","n/e","n/e","n/e","n/e","n/e","4150","n/e","n/e"
"02.01.2017 08:00 - 02.01.2017 09:00","61","n/e","n/e","n/e","n/e","n/e","4104","n/e","n/e"
"02.01.2017 09:00 - 02.01.2017 10:00","434","n/e","n/e","n/e","n/e","n/e","4217","n/e","n/e"
"02.01.2017 10:00 - 02.01.2017 11:00","1058","n/e","n/e","n/e","n/e","n/e","3963","n/e","n/e"
"02.01.2017 11:00 - 02.01.2017 12:00","1700","n/e","n/e","n/e","n/e","n/e","3810","n/e","n/e"
"02.01.2017 12:00 - 02.01.2017 13:00","1932","n/e","n/e","n/e","n/e","n/e","3578","n/e","n/e"
"02.01.2017 13:00 - 02.01.2017 14:00","2339","n/e","n/e","n/e","n/e","n/e","3451","n/e","n/e"
