"MTU (CET)","Day-ahead Price [EUR/MWh]"
"01.01.2017 00:00 - 01.01.2017 01:00","58.82"
"01.01.2017 01:00 - 01.01.2017 02:00","58.23"
"01.01.2017 02:00 - 01.01.2017 03:00","51.95"
"01.01.2017 03:00 - 01.01.2017 04:00","47.27"
"01.01.2017 04:00 - 01.01.2017 05:00","45.49"
"01.01.2017 05:00 - 01.01.2017 06:00","44.50"
"01.01.2017 06:00 - 01.01.2017 07:00","44.50"
"01.01.2017 07:00 - 01.01.2017 08:00","44.72"
"01.01.2017 08:00 - 01.01.2017 09:00","44.22"
"01.01.2017 09:00 - 01.01.2017 10:00","45.13"
"01.01.2017 10:00 - 01.01.2017 11:00","46.23"
"01.01.2017 11:00 - 01.01.2017 12:00","47.91"
"01.01.2017 12:00 - 01.01.2017 13:00","49.57"
"01.01.2017 13:00 - 01.01.2017 14:00","48.69"
"01.01.2017 14:00 - 01.01.2017 15:00","47.20"
"01.01.2017 15:00 - 01.01.2017 16:00","46.51"
"01.01.2017 16:00 - 01.01.2017 17:00","46.52"
"01.01.2017 17:00 - 01.01.2017 18:00","51.59"
"01.01.2017 18:00 - 01.01.2017 19:00","59.07"
"01.01.2017 19:00 - 01.01.2017 20:00","62.10"
"01.01.2017 20:00 - 01.01.2017 21:00","64.20"
"01.01.2017 21:00 - 01.01.2017 22:00","60.69"
"01.01.2017 22:00 - 01.01.2017 23:00","59.07"
"01.01.2017 23:00 - 02.01.2017 00:00","52.00"
"02.01.2017 00:00 - 02.01.2017 01:00","54.99"
"02.01.2017 01:00 - 02.01.2017 02:00","50.18"
"02.01.2017 02:00 - 02.01.2017 03:00","47.10"
"02.01.2017 03:00 - 02.01.2017 04:00","45.78"
"02.01.2017 04:00 - 02.01.2017 05:00","44.99"
"02.01.2017 05:00 - 02.01.2017 06:00","46.90"
"02.01.2017 06:00 - 02.01.2017 07:00","50.24"
"02.01.2017 07:00 - 02.01.2017 08:00","59.07"
"02.01.2017 08:00 - 02.01.2017 09:00","64.98"
